C(2.0000, 143.8803) = 1.0000
C(2.0000, 144.5602) = 1.0000
C(2.0000, 145.2402) = 1.0000
C(2.0000, 145.9202) = 1.0000
C(2.0000, 146.6002) = 1.0000
C(2.0000, 147.2801) = 1.0000
C(2.0000, 147.9601) = 1.0000
C(2.0000, 148.6401) = 1.0000
C(2.0000, 149.3200) = 1.0000
C(2.0000, 150.0000) = 1.0000
C(2.9933, 48.6846) = 1.0000
C(2.9933, 49.3646) = 1.0000
C(2.9933, 50.0445) = 1.0000
C(2.9933, 50.7245) = 1.0000
C(2.9933, 51.4045) = 1.0000
C(2.9933, 52.0844) = 1.0000
C(2.9933, 52.7644) = 1.0000
C(2.9933, 53.4444) = 1.0000
C(2.9933, 54.1244) = 1.0000
C(2.9933, 54.8043) = 1.0000
C(2.9933, 55.4843) = 1.0000
C(2.9933, 56.1643) = 1.0000
C(2.9933, 56.8442) = 1.0000
C(2.9933, 57.5242) = 1.0000
C(2.9933, 58.2042) = 1.0000
C(2.9933, 58.8841) = 1.0000
C(2.9933, 59.5641) = 1.0000
C(2.9933, 60.2441) = 1.0000
C(2.9933, 60.9240) = 1.0000
C(2.9933, 61.6040) = 1.0000
C(2.9933, 62.2840) = 1.0000
C(2.9933, 62.9640) = 1.0000
C(2.9933, 63.6439) = 1.0000
C(2.9933, 64.3239) = 1.0000
C(2.9933, 65.0039) = 1.0000
C(2.9933, 65.6838) = 1.0000
C(2.9933, 66.3638) = 1.0000
C(2.9933, 67.0438) = 1.0000
C(2.9933, 67.7237) = 1.0000
C(2.9933, 68.4037) = 1.0000
C(2.9933, 69.0837) = 1.0000
C(2.9933, 69.7636) = 1.0000
C(2.9933, 70.4436) = 1.0000
C(2.9933, 71.1236) = 1.0000
C(2.9933, 71.8036) = 1.0000
C(2.9933, 72.4835) = 1.0000
C(2.9933, 73.1635) = 1.0000
C(2.9933, 73.8435) = 1.0000
C(2.9933, 74.5234) = 1.0000
C(2.9933, 75.2034) = 1.0000
C(2.9933, 75.8834) = 1.0000
C(2.9933, 76.5633) = 1.0000
C(2.9933, 77.2433) = 1.0000
C(2.9933, 77.9233) = 1.0000
C(2.9933, 78.6032) = 1.0000
C(2.9933, 79.2832) = 1.0000
C(2.9933, 79.9632) = 1.0000
C(2.9933, 80.6432) = 1.0000
C(2.9933, 81.3231) = 1.0000
C(2.9933, 82.0031) = 1.0000
C(2.9933, 82.6831) = 1.0000
C(2.9933, 83.3630) = 1.0000
C(2.9933, 84.0430) = 1.0000
C(2.9933, 84.7230) = 1.0000
C(2.9933, 85.4029) = 1.0000
C(2.9933, 86.0829) = 1.0000
C(2.9933, 86.7629) = 1.0000
C(2.9933, 87.4428) = 1.0000
C(2.9933, 88.1228) = 1.0000
C(2.9933, 88.8028) = 1.0000
C(2.9933, 89.4827) = 1.0000
C(2.9933, 90.1627) = 1.0000
C(2.9933, 90.8427) = 1.0000
C(2.9933, 91.5227) = 1.0000
C(2.9933, 92.2026) = 1.0000
C(2.9933, 92.8826) = 1.0000
C(2.9933, 93.5626) = 1.0000
C(2.9933, 94.2425) = 1.0000
C(2.9933, 94.9225) = 1.0000
C(2.9933, 95.6025) = 1.0000
C(2.9933, 96.2824) = 1.0000
C(2.9933, 96.9624) = 1.0000
C(2.9933, 97.6424) = 1.0000
C(2.9933, 98.3223) = 1.0000
C(2.9933, 99.0023) = 1.0000
C(2.9933, 99.6823) = 1.0000
C(2.9933, 100.3623) = 1.0000
C(2.9933, 101.0422) = 1.0000
C(2.9933, 101.7222) = 1.0000
C(2.9933, 102.4022) = 1.0000
C(2.9933, 103.0821) = 1.0000
C(2.9933, 103.7621) = 1.0000
C(2.9933, 104.4421) = 1.0000
C(2.9933, 105.1220) = 1.0000
C(2.9933, 105.8020) = 1.0000
C(2.9933, 106.4820) = 1.0000
C(2.9933, 107.1619) = 1.0000
C(2.9933, 107.8419) = 1.0000
C(2.9933, 108.5219) = 1.0000
C(2.9933, 109.2019) = 1.0000
C(2.9933, 109.8818) = 1.0000
C(2.9933, 110.5618) = 1.0000
C(2.9933, 111.2418) = 1.0000
C(2.9933, 111.9217) = 1.0000
C(2.9933, 112.6017) = 1.0000
C(2.9933, 113.2817) = 1.0000
C(2.9933, 113.9616) = 1.0000
C(2.9933, 114.6416) = 1.0000
C(2.9933, 115.3216) = 1.0000
C(2.9933, 116.0015) = 1.0000
C(2.9933, 116.6815) = 1.0000
C(2.9933, 117.3615) = 1.0000
C(2.9933, 118.0415) = 1.0000
C(2.9933, 118.7214) = 1.0000
C(2.9933, 119.4014) = 1.0000
C(2.9933, 120.0814) = 1.0000
C(2.9933, 120.7613) = 1.0000
C(2.9933, 121.4413) = 1.0000
C(2.9933, 122.1213) = 1.0000
C(2.9933, 122.8012) = 1.0000
C(2.9933, 123.4812) = 1.0000
C(2.9933, 124.1612) = 1.0000
C(2.9933, 124.8411) = 1.0000
C(2.9933, 125.5211) = 1.0000
C(2.9933, 126.2011) = 1.0000
C(2.9933, 126.8811) = 1.0000
C(2.9933, 127.5610) = 1.0000
C(2.9933, 128.2410) = 1.0000
C(2.9933, 128.9210) = 1.0000
C(2.9933, 129.6009) = 1.0000
C(2.9933, 130.2809) = 1.0000
C(2.9933, 130.9609) = 1.0000
C(2.9933, 131.6408) = 1.0000
C(2.9933, 132.3208) = 1.0000
C(2.9933, 133.0008) = 1.0000
C(2.9933, 133.6807) = 1.0000
C(2.9933, 134.3607) = 1.0000
C(2.9933, 135.0407) = 1.0000
C(2.9933, 135.7206) = 1.0000
C(2.9933, 136.4006) = 1.0000
C(2.9933, 137.0806) = 1.0000
